Best checkpoint per frame cost
=================================================================
  Frame Cost |           Best Checkpoint |  Mean Reward |      Std
-----------------------------------------------------------------
        0.00 |        checkpoint_ep_3000 |       279.47 |    18.88
        0.10 |       checkpoint_ep_63000 |       268.67 |    19.37
        0.20 |       checkpoint_ep_13000 |       260.14 |    25.53
        0.30 |       checkpoint_ep_17000 |       255.94 |    42.31
        0.40 |       checkpoint_ep_11000 |       246.42 |    42.22
        0.50 |       checkpoint_ep_13000 |       231.17 |    67.56
        0.60 |       checkpoint_ep_15000 |       228.02 |    70.26
        0.70 |       checkpoint_ep_14000 |       222.91 |    69.66
        0.80 |       checkpoint_ep_12000 |       217.69 |    67.56
        0.90 |       checkpoint_ep_32000 |       221.79 |    59.76
        1.00 |        checkpoint_ep_8000 |       208.62 |    71.47
        2.00 |       checkpoint_ep_31000 |       174.72 |    67.71
        3.00 |       checkpoint_ep_54000 |       134.92 |    67.66

Full paths:
  0.0: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\19-04-2026_12-14-11_FPS_0_0\plots\checkpoint_ep_3000\model.zip
  0.1: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\19-04-2026_13-23-38_FPS_0_1\plots\checkpoint_ep_63000\model.zip
  0.2: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\19-04-2026_18-47-20_FPS_0_2\plots\checkpoint_ep_13000\model.zip
  0.3: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\19-04-2026_20-08-34_FPS_0_3\plots\checkpoint_ep_17000\model.zip
  0.4: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\19-04-2026_21-30-26_FPS_0_4\plots\checkpoint_ep_11000\model.zip
  0.5: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\19-04-2026_22-59-53_FPS_0_5\plots\checkpoint_ep_13000\model.zip
  0.6: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_00-22-04_FPS_0_6\plots\checkpoint_ep_15000\model.zip
  0.7: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_01-48-21_FPS_0_7\plots\checkpoint_ep_14000\model.zip
  0.8: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_03-15-05_FPS_0_8\plots\checkpoint_ep_12000\model.zip
  0.9: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_04-52-46_FPS_0_9\plots\checkpoint_ep_32000\model.zip
  1.0: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_11-30-43_FPS_1_0\plots\checkpoint_ep_8000\model.zip
  2.0: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_12-54-50_FPS_2_0\plots\checkpoint_ep_31000\model.zip
  3.0: lunar_lander_models\var_framerate_per_frame_penalty_wo_landing_penalty\20-04-2026_18-50-21_FPS_3_0\plots\checkpoint_ep_54000\model.zip
